A	B	Bell_Schedule_ID	C	Cycle_Day_ID	D	Date	E	F	ID	InSession	MembershipValue	Note	ScheduleID	SchoolID	Type	Week_Num
0	0	402	0	401	0	8/13/18	0	0	5481	1	1		A	123711		0
0	0	402	0	401	0	8/14/18	0	0	5482	1	1		A	123711		0
0	0	402	0	401	0	8/15/18	0	0	5483	1	1		A	123711		0
0	0	402	0	401	0	8/16/18	0	0	5484	1	1		A	123711		0
0	0	402	0	401	0	8/17/18	0	0	5485	1	1		A	123711		0
0	0	0	0	0	0	8/18/18	0	0	5486	0	0		A	123711		0
0	0	0	0	0	0	8/19/18	0	0	5487	0	0		A	123711		0
0	0	401	0	401	0	8/20/18	0	0	5488	1	1		A	123711		0
0	0	401	0	401	0	8/21/18	0	0	5489	1	1		A	123711		0
0	0	402	0	401	0	8/22/18	0	0	5490	1	1		A	123711		0
0	0	401	0	401	0	8/23/18	0	0	5491	1	1		A	123711		0
0	0	401	0	401	0	8/24/18	0	0	5492	1	1		A	123711		0
0	0	0	0	0	0	8/25/18	0	0	5493	0	0		A	123711		0
0	0	0	0	0	0	8/26/18	0	0	5494	0	0		A	123711		0
0	0	401	0	401	0	8/27/18	0	0	5495	1	1		A	123711		0
0	0	401	0	401	0	8/28/18	0	0	5496	1	1		A	123711		0
0	0	402	0	401	0	8/29/18	0	0	5497	1	1		A	123711		0
0	0	401	0	401	0	8/30/18	0	0	5498	1	1		A	123711		0
0	0	401	0	401	0	8/31/18	0	0	5499	1	1		A	123711		0
0	0	0	0	0	0	9/1/18	0	0	5500	0	0		A	123711		0
0	0	0	0	0	0	9/2/18	0	0	5501	0	0		A	123711		0
0	0	0	0	0	0	9/3/18	0	0	5502	0	0		A	123711	H	0
0	0	401	0	401	0	9/4/18	0	0	5503	1	1		A	123711		0
0	0	402	0	401	0	9/5/18	0	0	5504	1	1		A	123711		0
0	0	401	0	401	0	9/6/18	0	0	5505	1	1		A	123711		0
0	0	401	0	401	0	9/7/18	0	0	5506	1	1		A	123711		0
0	0	0	0	0	0	9/8/18	0	0	5507	0	0		A	123711		0
0	0	0	0	0	0	9/9/18	0	0	5508	0	0		A	123711		0
0	0	401	0	401	0	9/10/18	0	0	5509	1	1		A	123711		0
0	0	401	0	401	0	9/11/18	0	0	5510	1	1		A	123711		0
0	0	402	0	401	0	9/12/18	0	0	5511	1	1		A	123711		0
0	0	401	0	401	0	9/13/18	0	0	5512	1	1		A	123711		0
0	0	401	0	401	0	9/14/18	0	0	5513	1	1		A	123711		0
0	0	0	0	0	0	9/15/18	0	0	5514	0	0		A	123711		0
0	0	0	0	0	0	9/16/18	0	0	5515	0	0		A	123711		0
0	0	401	0	401	0	9/17/18	0	0	5516	1	1		A	123711		0
0	0	401	0	401	0	9/18/18	0	0	5517	1	1		A	123711		0
0	0	402	0	401	0	9/19/18	0	0	5518	1	1		A	123711		0
0	0	0	0	0	0	9/20/18	0	0	5519	0	0	pupil free	A	123711		0
0	0	0	0	0	0	9/21/18	0	0	5520	0	0	pupil free	A	123711		0
0	0	0	0	0	0	9/22/18	0	0	5521	0	0		A	123711		0
0	0	0	0	0	0	9/23/18	0	0	5522	0	0		A	123711		0
0	0	401	0	401	0	9/24/18	0	0	5523	1	1		A	123711		0
0	0	401	0	401	0	9/25/18	0	0	5524	1	1		A	123711		0
0	0	402	0	401	0	9/26/18	0	0	5525	1	1		A	123711		0
0	0	401	0	401	0	9/27/18	0	0	5526	1	1		A	123711		0
0	0	401	0	401	0	9/28/18	0	0	5527	1	1		A	123711		0
0	0	0	0	0	0	9/29/18	0	0	5528	0	0		A	123711		0
0	0	0	0	0	0	9/30/18	0	0	5529	0	0		A	123711		0
0	0	401	0	401	0	10/1/18	0	0	5530	1	1		A	123711		0
0	0	401	0	401	0	10/2/18	0	0	5531	1	1		A	123711		0
0	0	402	0	401	0	10/3/18	0	0	5532	1	1		A	123711		0
0	0	401	0	401	0	10/4/18	0	0	5533	1	1		A	123711		0
0	0	401	0	401	0	10/5/18	0	0	5534	1	1		A	123711		0
0	0	0	0	0	0	10/6/18	0	0	5535	0	0		A	123711		0
0	0	0	0	0	0	10/7/18	0	0	5536	0	0		A	123711		0
0	0	401	0	401	0	10/8/18	0	0	5537	1	1		A	123711		0
0	0	401	0	401	0	10/9/18	0	0	5538	1	1		A	123711		0
0	0	402	0	401	0	10/10/18	0	0	5539	1	1		A	123711		0
0	0	401	0	401	0	10/11/18	0	0	5540	1	1		A	123711		0
0	0	401	0	401	0	10/12/18	0	0	5541	1	1		A	123711		0
0	0	0	0	0	0	10/13/18	0	0	5542	0	0		A	123711		0
0	0	0	0	0	0	10/14/18	0	0	5543	0	0		A	123711		0
0	0	401	0	401	0	10/15/18	0	0	5544	1	1		A	123711		0
0	0	401	0	401	0	10/16/18	0	0	5545	1	1		A	123711		0
0	0	402	0	401	0	10/17/18	0	0	5546	1	1		A	123711		0
0	0	401	0	401	0	10/18/18	0	0	5547	1	1		A	123711		0
0	0	0	0	0	0	10/19/18	0	0	5548	0	0		A	123711	H	0
0	0	0	0	0	0	10/20/18	0	0	5549	0	0		A	123711		0
